offset,dtype,value,confidence,reason
116895,float64,-2.0000000000509366,0.5,finite furniture-like float64
116897,float64,99.00000000000001,0.5,finite furniture-like float64
116919,float64,-2.000000000036338,0.5,finite furniture-like float64
116921,float64,99.00000000000001,0.5,finite furniture-like float64
116943,float64,-2.000000000036385,0.5,finite furniture-like float64
116945,float64,99.00000000000001,0.5,finite furniture-like float64
116967,float64,-2.0000000000363887,0.5,finite furniture-like float64
116969,float64,99.00000000000001,0.5,finite furniture-like float64
116991,float64,-2.000000000036385,0.5,finite furniture-like float64
116993,float64,99.00000000000001,0.5,finite furniture-like float64
117015,float64,-2.000000000036338,0.5,finite furniture-like float64
117017,float64,99.00000000000001,0.5,finite furniture-like float64
117071,float64,-2.000000000036338,0.5,finite furniture-like float64
117073,float64,99.00000000000001,0.5,finite furniture-like float64
117125,float64,-1.0,0.5,finite furniture-like float64
117375,float64,-2.0000000000509317,0.5,finite furniture-like float64
117377,float64,99.00000000000001,0.5,finite furniture-like float64
117431,float64,-2.0000000000363882,0.5,finite furniture-like float64
117433,float64,99.00000000000001,0.5,finite furniture-like float64
117489,float64,5.999999999999994,0.5,finite furniture-like float64
117513,float64,5.999999999999997,0.5,finite furniture-like float64
117569,float64,5.999999999999994,0.5,finite furniture-like float64
117681,float64,5.999999999999997,0.5,finite furniture-like float64
117713,float64,5.999999999999994,0.5,finite furniture-like float64
117737,float64,5.999999999999994,0.5,finite furniture-like float64
117793,float64,5.999999999999994,0.5,finite furniture-like float64
117881,float64,5.999999999999997,0.5,finite furniture-like float64
117905,float64,5.999999999999994,0.5,finite furniture-like float64
117961,float64,5.999999999999997,0.5,finite furniture-like float64
118045,float64,5.999999999999999,0.5,finite furniture-like float64
118069,float64,0.9999999999999999,0.5,finite furniture-like float64
118097,float64,5.999999999999997,0.5,finite furniture-like float64
118121,float64,6.000000000000001,0.5,finite furniture-like float64
118145,float64,6.0000000000000036,0.5,finite furniture-like float64
118169,float64,6.000000000000005,0.5,finite furniture-like float64
118193,float64,6.000000000000007,0.5,finite furniture-like float64
118217,float64,6.000000000000008,0.5,finite furniture-like float64
118273,float64,6.000000000000008,0.5,finite furniture-like float64
118325,float64,0.9999999999999999,0.5,finite furniture-like float64
118505,float64,6.000000000000004,0.5,finite furniture-like float64
118529,float64,6.000000000000008,0.5,finite furniture-like float64
118585,float64,6.000000000000004,0.5,finite furniture-like float64
118673,float64,5.999999999999997,0.5,finite furniture-like float64
118697,float64,6.000000000000004,0.5,finite furniture-like float64
168997,float64,18.0,0.5,finite furniture-like float64
169286,float64,-13.0,0.5,finite furniture-like float64
169303,float64,-14.5,0.5,finite furniture-like float64
169320,float64,-10.0,0.5,finite furniture-like float64
169337,float64,19.5,0.5,finite furniture-like float64
169371,float64,10.0,0.5,finite furniture-like float64
169406,float64,9.5,0.5,finite furniture-like float64
169474,float64,-1.0,0.5,finite furniture-like float64
169508,float64,10.0,0.5,finite furniture-like float64
169525,float64,14.5,0.5,finite furniture-like float64
169578,float64,-9.0,0.5,finite furniture-like float64
169612,float64,-1.0,0.5,finite furniture-like float64
169663,float64,2.25,0.5,finite furniture-like float64
169680,float64,13.0,0.5,finite furniture-like float64
169882,float64,18.0,0.5,finite furniture-like float64
170171,float64,-13.0,0.5,finite furniture-like float64
170188,float64,-14.5,0.5,finite furniture-like float64
170205,float64,-10.0,0.5,finite furniture-like float64
170222,float64,19.5,0.5,finite furniture-like float64
170256,float64,10.0,0.5,finite furniture-like float64
170291,float64,9.5,0.5,finite furniture-like float64
170359,float64,-1.0,0.5,finite furniture-like float64
170393,float64,10.0,0.5,finite furniture-like float64
170410,float64,14.5,0.5,finite furniture-like float64
170463,float64,-9.0,0.5,finite furniture-like float64
170497,float64,-1.0,0.5,finite furniture-like float64
170548,float64,2.25,0.5,finite furniture-like float64
170565,float64,13.0,0.5,finite furniture-like float64
170743,float64,18.0,0.5,finite furniture-like float64
170777,float64,-3.55,0.5,finite furniture-like float64
170794,float64,-3.55,0.5,finite furniture-like float64
170811,float64,52.0,0.5,finite furniture-like float64
170828,float64,3.55,0.5,finite furniture-like float64
170845,float64,3.55,0.5,finite furniture-like float64
170931,float64,1.0,0.5,finite furniture-like float64
170982,float64,3.55,0.5,finite furniture-like float64
170999,float64,18.0,0.5,finite furniture-like float64
171035,float64,18.0,0.5,finite furniture-like float64
171086,float64,1.0,0.5,finite furniture-like float64
171137,float64,2.25,0.5,finite furniture-like float64
171154,float64,34.0,0.5,finite furniture-like float64
171332,float64,18.0,0.5,finite furniture-like float64
171366,float64,-3.55,0.5,finite furniture-like float64
171383,float64,-3.55,0.5,finite furniture-like float64
171400,float64,52.0,0.5,finite furniture-like float64
171417,float64,3.55,0.5,finite furniture-like float64
171434,float64,3.55,0.5,finite furniture-like float64
171520,float64,1.0,0.5,finite furniture-like float64
171571,float64,3.55,0.5,finite furniture-like float64
171588,float64,17.999999999999886,0.5,finite furniture-like float64
171624,float64,18.0,0.5,finite furniture-like float64
171675,float64,1.0,0.5,finite furniture-like float64
171726,float64,2.25,0.5,finite furniture-like float64
171743,float64,34.0,0.5,finite furniture-like float64
171921,float64,18.0,0.5,finite furniture-like float64
171955,float64,-3.55,0.5,finite furniture-like float64
171972,float64,-3.55,0.5,finite furniture-like float64
171989,float64,52.0,0.5,finite furniture-like float64
172006,float64,3.55,0.5,finite furniture-like float64
172023,float64,3.55,0.5,finite furniture-like float64
172109,float64,1.0,0.5,finite furniture-like float64
172160,float64,3.55,0.5,finite furniture-like float64
172177,float64,17.99999999999994,0.5,finite furniture-like float64
172213,float64,18.0,0.5,finite furniture-like float64
172264,float64,1.0,0.5,finite furniture-like float64
172315,float64,2.25,0.5,finite furniture-like float64
172332,float64,34.0,0.5,finite furniture-like float64
172510,float64,18.0,0.5,finite furniture-like float64
172544,float64,-3.55,0.5,finite furniture-like float64
172561,float64,-3.55,0.5,finite furniture-like float64
172578,float64,52.0,0.5,finite furniture-like float64
172595,float64,3.55,0.5,finite furniture-like float64
172612,float64,3.55,0.5,finite furniture-like float64
172698,float64,1.0,0.5,finite furniture-like float64
172749,float64,3.55,0.5,finite furniture-like float64
172766,float64,17.999999999999886,0.5,finite furniture-like float64
172802,float64,18.0,0.5,finite furniture-like float64
172853,float64,1.0,0.5,finite furniture-like float64
172904,float64,2.25,0.5,finite furniture-like float64
172921,float64,34.0,0.5,finite furniture-like float64
173099,float64,18.0,0.5,finite furniture-like float64
173133,float64,-3.55,0.5,finite furniture-like float64
173150,float64,-3.55,0.5,finite furniture-like float64
173167,float64,52.0,0.5,finite furniture-like float64
173184,float64,3.55,0.5,finite furniture-like float64
173201,float64,3.55,0.5,finite furniture-like float64
173287,float64,1.0,0.5,finite furniture-like float64
173338,float64,3.55,0.5,finite furniture-like float64
173355,float64,18.0,0.5,finite furniture-like float64
173391,float64,18.0,0.5,finite furniture-like float64
173442,float64,1.0,0.5,finite furniture-like float64
